Name,Translation
Belum ada penilaian,Not rated
Not rated,Not rated
Poor,Poor
Malo,Poor
Average,Average
Biasa,Average
Media,Average
Ortalama,Average
Priemer,Average
è?rednio,Average
Prè?m??r,Average
Promedio,Average
M??dia,Average
Good,Good
Bom,Good
Buono,Good
??yi,Good
Skv??l?? volba,Good
Baik,Good
Bueno,Good
Dobrze,Good
Very Good,Very Good
??ok iyi,Very Good
Bardzo dobrze,Very Good
Muy Bueno,Very Good
Sangat Baik,Very Good
Velmi dobr??,Very Good
Muito Bom,Very Good
Ottimo,Very Good
Ve??mi dobr??,Very Good
Excelente,Excellent
Excellent,Excellent
Harika,Excellent
Terbaik,Excellent
Eccellente,Excellent
Skv??l??,Excellent
Vynikaj??ce,Excellent
